,tweet_id,username,name,replies,retweets,likes,posted_time,content
0,1676632029763612673,ManishPandeyLKW,MANISH PANDEY,132,378,722,2023-07-05 16:40:00+00:00,ये कौन सा इंसाफ है भाई ???
1,1676775355162705921,thakurbjpdelhi,Sandeep Thakur,914,4332,5248,2023-07-06 02:09:32+00:00,"दिल्ली के अमान खान के इंस्टाग्राम अकाउंट पर 16 हजार से ज्यादा फॉलोअर्स हैं और अपने इंस्टाग्राम रील्स के जरिए वह अपने मुस्लिम फॉलोअर्स को काफिरों (गैर-मुस्लिम) के खिलाफ अगले ""कर्बला युद्ध"" के लिए तैयार होने के लिए उकसा रहा हैं.. तो 
@DelhiPolice
 को ऐसे प्रवृत्ति के लोगों के खिलाफ… Show more"
2,1676748131034357761,shellenberger,Michael Shellenberger,557,4756,20798,2023-07-06 00:21:21+00:00,"Experts said yesterday's anti-censorship court ruling was too badly written to be implemented, but it's already working. The State Department today canceled its regular Wednesday meeting with Facebook, and all future meetings, ""pending further guidance.”"
3,1676754209176272897,elonmusk,Elon Musk,1371,3083,27215,2023-07-06 00:45:30+00:00,I wonder what goes on at the “regular Wednesday meeting”
4,1676588159709204483,INDVivekPandey_,Vivek Pandey,1508,1217,3115,2023-07-05 13:45:41+00:00,प्रवेश शुक्ला द्वारा किया गया अपराध अक्षम्य है इसके लिए उस पर कोई भी कड़ी करवाई हो परन्तु मुख्यमंत्री जी का यह निर्णय बहुत गलत है कि उसके घर पर बोल्डोजर का अतिक्रमण जबकि घर पर प्रवेश शुक्ला का एक रुपया भी नही लगा उसके पिता को खून पसीने से बनाया हुआ घर है जो दोषी नही है..… Show more
5,1676809355641909251,Ankitydv92,Ankit Yadav Bojha,265,3077,19056,2023-07-06 04:24:38+00:00,"बहाने बनाने वाले के पास काम नहीं है
काम करने वाले के पास बहाना नहीं है"
6,1676955956813631489,narendramodi,Narendra Modi,360,2225,6955,2023-07-06 14:07:11+00:00,"कल रायपुर में 
@BJP4CGState
 की रैली में जनता-जनार्दन से संवाद को लेकर बेहद उत्साहित हूं। छत्तीसगढ़ के लोगों का हमेशा से बीजेपी से बहुत मजबूत रिश्ता रहा है। मुझे विश्वास है कि वे अपना आशीर्वाद सदैव बनाए रखेंगे।"
7,1676911170077487104,imVkohli,Virat Kohli,359,2319,35404,2023-07-06 11:09:13+00:00,"Welcome to the mothership.

#StayMad #StayWrogn #ad
@StayWrogn"
8,1677138761455636482,CricCrazyJohns,Johns.,77,1178,9902,2023-07-07 02:13:35+00:00,"2007 - T20 WC
2010 - IPL
2010 - Test Mace
2010 - Asia Cup
2010 - CL T20
2011 - ODI WC
2011 - Test Mace
2011 - IPL
2013 - CT
2014 - CL T20
2016 - Asia Cup
2018 - IPL
2021 - IPL
2023 - IPL

The Greatest ever. #HappyBirthdayDhoni"
9,1677215549346963456,aajtak,AajTak,4,14,109,2023-07-07 07:18:42+00:00,"कोल्हापुर - ऑटो रिक्शा में फंसी महिला की साड़ी, 400 मीटर तक ड्राइवर घसीटता रहा, घटना CCTV में कैद

#Kolhapur #Maharashtra #AutoDriver"
10,1676932507630194690,chetrisunil11,Sunil Chhetri,407,3941,34706,2023-07-06 12:34:00+00:00,"A thank you might not cut it. But it's all I have, Bengaluru."
11,1677194313980338176,RubikaLiyaquat,Rubika Liyaquat,1174,804,5118,2023-07-07 05:54:19+00:00,"राहुल गाँधी की 2 साल की सज़ा बरक़रार रहेगी 

मानहानि केस में गुजरात हाईकोर्ट ने राहुल गांधी की पुनर्विचार याचिका खारिज कर बड़ा झटका दिया 

कोर्ट ने कहा- “दोषसिद्धि पर रोक लगाना एक अपवाद है, कोई नियम नहीं..

एक सांसद रहते हुए राहुल गांधी के खिलाफ 10 से अधिक मामले हैं”"
12,1677251305155493889,timesofindia,The Times Of India,1,10,29,2023-07-07 09:40:47+00:00,"#WATCH | #UttarPradesh | Dance and music at Gorakhpur Junction railway station.  

PM #NarendraModi will flag off the Vande Bharat Express train here, shortly."
13,1677156589097345024,AwanishSharan,Awanish Sharan,72,1485,9538,2023-07-07 03:24:25+00:00,"कल कोई और ‘नहीं’ आएगा.

#HappyBirthdayDhoni "
14,1677157421658308610,rajrifofficial,RAJPUTANA RIFLES,64,979,11067,2023-07-07 03:27:44+00:00,"Happy Birthday to ""Lt Col"" Mahendra Singh Dhoni, the ‘Man with the Golden Arm’ and one of the greatest Indian cricket captains of all times!"
15,1676661734864453633,aajtak,AajTak,18,31,180,2023-07-05 18:38:03+00:00,"कितना गिर गया इंसान! 

#Vardaat #ATVideo  
@ShamsTahirKhan
 @ReporterRavish
देखिए पूरा शो: https://intdy.in/2ij1es"
16,1677119806582177792,myogiadityanath,Yogi Adityanath,386,2120,15325,2023-07-07 00:58:15+00:00,"अदम्य साहस एवं अप्रतिम वीरता के अमर प्रतीक, महान बलिदानी, कारगिल विजय के नायक, 'परमवीर चक्र' से सम्मानित कैप्टन विक्रम बत्रा की पुण्यतिथि पर उन्हें विनम्र श्रद्धांजलि!

माँ भारती की रक्षा के लिए कारगिल युद्ध में उनका शौर्यपूर्ण बलिदान चिरकाल तक प्रेरणा प्रदान करता रहेगा।"
17,1677115946132185088,nitin_gadkari,Nitin Gadkari,102,1727,16349,2023-07-07 00:42:55+00:00,"Birthday greetings to the Padma Bhushan 
@msdhoni
 ji. May you be blessed with good health and long life."
